Liga,Partidos,Aciertos,Win_Rate,ROI
Championship,1451,1290,88.90420399724329,6.685044796691937
La Liga 2,1198,1094,91.31886477462437,9.582637729549246
Serie A,989,852,86.14762386248736,3.3771486349848305
Serie B,987,907,91.89463019250253,10.273556231003026
Premier League,961,847,88.13735691987513,5.7648283038501535
La Liga,952,861,90.44117647058823,8.529411764705888
Ligue 2,911,813,89.24259055982436,7.091108671789232
Super Lig,909,808,88.88888888888889,6.666666666666657
Ligue 1,898,794,88.41870824053451,6.10244988864142
Liga Portugal,771,690,89.49416342412452,7.392996108949417
Jupiler League,744,656,88.17204301075269,5.806451612903216
Bundesliga 2,741,657,88.66396761133603,6.396761133603237
Bundesliga,726,643,88.56749311294766,6.280991735537193
Eredivisie,725,648,89.37931034482759,7.255172413793106
Super League Greece,629,566,89.98410174880763,7.980922098569146
